所屬業管機關,業者編號,卡號,電子票證卡種,持卡身分,票種類型,票種次類型,搭乘路線代碼,搭乘路線名稱,搭乘附屬路線代碼,搭乘附屬路線名稱,搭乘公車路線方向,公車路線計費方式[0: ODFares 上下車刷卡格式; 1: ODTapOnceFares 上車刷卡格式; 2: StageFares 區間收費格式],上車站牌代碼,上車站牌名稱,上車計費站序資料,刷卡上車時間,下車站牌代碼,下車站牌名稱,下車站牌站序,刷卡下車時間,收費價格,優惠額度,轉乘代碼紀錄,優惠資訊,實際支付價格,是否包含異常值(係指上下站值為-99或上下車時間為1970-01-01 00:00:00之情況),檢核錯誤代碼[-2: 未經二階段檢核; -1: 路線資訊錯誤; 0: 驗證通過; 1: 站牌或站位資訊錯誤; 2: 業者與路線資訊不匹配; 3: 路線、站牌與業者資訊不匹配],檢核結果[0: 值域或各式檢核未通過; 1: 值域各式檢核通過但包含異常值; 2: 代碼或邏輯檢核未通過; 3: 值域格式及代碼邏輯皆通過],原始票證筆數,來源端平台資料更新時間(yyyy-MM-dd HH:mm:ss),本平台資料更新時間(yyyy-MM-dd HH:mm:ss),資料代表日期(yyyy-MM-dd)
Authority,OperatorNo,ID,IDType,HolderType,TicketType,SubTicketType,RouteUID,RouteName,SubRouteUID,SubRouteName,Direction,FarePricingType,BoardingStopUID,BoardingStopName,BoardingStopSequence,BoardingTime,DeboardingStopUID,DeboardingStopName,DeboardingStopSequence,DeboardingTime,Price,Discount,TransferCode,DiscountInfo,PaymentPrice,IsAbnormal,ErrorCode,Result,TicketCount,SrcUpdateTime,UpdateTime,InfoDate
Kaohsiung,1307,d600d731ab56b7f4761c6159e6ddfab5ff0c8653771d3ce1ac121191224540a8,iPASS,C09,4,#KHH-399,KHH8506,8506,KHH8506,8506,1,0,KHH108506115932,高雄少年法院,16,2024-07-31 13:00:00,KHH108506148252,義大世界站,21,2024-07-31 13:00:00,65.0,65.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,f73c9c1a34c975b5350ec0ac777587e489077a53c966a49cc06e052ce49d0659,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 21:00:00,KHH108501131452,購物廣場站,6,2024-07-31 22:00:00,34.0,34.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,8553f49330fc1309691a54ef961fe03244403a2675f92617e1d6db632ccdfe1e,PaymentID,C09,4,#KHH-MaaS_30D399,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 22:00:00,KHH108501131452,購物廣場站,6,2024-07-31 22:00:00,34.0,34.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,24dec7e7eb9dd45c838b348a505d784c97a11726aaa306489cd59d2685f1cfb8,iPASS,A,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 10:00:00,KHH108501148252,義大世界站,7,2024-07-31 10:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,89619be7b25a3a988cfd784111aa4dd8966623509cb4a2cad9501bbafe88f48d,iPASS,C09,4,#SOU-999,KHH8506,8506,KHH8506,8506,1,0,KHH108506118172,臺鐵岡山車站(捷運岡山車站),1,2024-07-31 15:00:00,KHH108506115942,中山路(中正路口),17,2024-07-31 16:00:00,69.0,69.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,a329ce25527994c3dc7a3688ef9a574e343e8eb9edfad88ee4738070a003eae1,iPASS,C09,4,#KHH-399,KHH8505,8505,KHH8505,8505,1,0,KHH1085051842,五甲派出所,5,2024-07-31 09:00:00,KHH108505131452,購物廣場站,15,2024-07-31 09:00:00,80.0,80.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,ffcd53a6aa680b4ad578c7c3eddf4128e5b7bb234a3c46f0a03d445c7c305761,EasyCard,A,1,,KHH503,E03A燕巢快線,KHH503,E03A燕巢快線,0,0,KHH100503191971,樹德科技大學(橫山路),5,2024-07-31 11:00:00,KHH10050388151,高鐵左營站,1,2024-07-31 11:00:00,36.0,12.0,,03,24.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,ad66d8d9843cdfd3b32aa6970fb088fb11596639845d2a419b7b1a568cbe0e4d,iPASS,B,1,,KHH8501,8501(部分繞駛義守大學),KHH8501,8501(部分繞駛義守大學),1,0,KHH10850188152,高鐵左營站,1,2024-07-31 08:00:00,KHH108501148252,義大世界站,7,2024-07-31 09:00:00,37.0,0.0,,,37.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,2a579247a9038dc428bf1332365e5c78e4dea2bbfeddeeba2559282935806dd4,iPASS,B,1,,KHH8502,8502,KHH8502,8502,0,0,KHH10850284521,慈惠堂,14,2024-07-31 14:00:00,KHH10850236081,捷運凹子底站(輕軌愛河之心站),28,2024-07-31 14:00:00,26.0,0.0,,,26.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
Kaohsiung,1307,2aa5cbefabda9829488d3f9e3f28bfed8973a3253a891b7085d6d33a1c32e2f4,iPASS,C09,4,#KHH-399,KHH8504,8504,KHH8504,8504,0,0,KHH108504131421,仁林路口(澄觀路二段),5,2024-07-31 07:00:00,KHH108504131711,鳳山轉運站(捷運大東站),17,2024-07-31 08:00:00,57.0,57.0,,0103,0.0,0,0,3,1,2024-08-14 13:08:43,2024-08-15 19:03:50,2024-07-31
