旅次日期,旅次時段(Ex: 12表示為12時00分至12時59分),票證分類 (N-IC: 非電子票證; IC: 電子票證),電子票證卡種,持卡身分,起站代碼,起站中文名稱,迄站代碼,迄站中文名稱,旅運量,資料代表日期(yyyy-MM-dd)
TripDate,TripHour,TicketClass,IDType,HolderType,OriginStationID,OriginStationName,DestinationStationID,DestinationStationName,Volume,InfoDate
2024/5/31,12,IC,iPASS,A,R16,左營,O9,苓雅運動園區,2,2024/5/31
2024/5/31,20,IC,EasyCard,B,R8,三多商圈                ,R16,左營                  ,3,2024/5/31
2024/5/31,17,IC,iPASS,B,R15,生態園區                ,R3,小港                  ,1,2024/5/31
2024/5/31,11,IC,iPASS,A,O14,鳳山國中                ,R7,獅甲                  ,1,2024/5/31
2024/5/31,18,N-IC,,,O8,五塊厝,O10,衛武營,1,2024/5/31
2024/5/31,14,N-IC,,,R3,小港,O8,五塊厝,1,2024/5/31
2024/5/31,17,IC,CreditCard,A,O2,鹽埕埔,R21,都會公園,1,2024/5/31
2024/5/31,23,IC,EasyCard,A,R13,凹子底                 ,R8,三多商圈                ,1,2024/5/31
2024/5/31,7,IC,EasyCard,C01,R21,都會公園                ,R12,後驛                  ,1,2024/5/31
2024/5/31,17,IC,iPASS,B,R9,中央公園                ,O12,鳳山                  ,1,2024/5/31
2024/5/31,0,IC,EasyCard,A,R14,巨蛋                  ,R19,楠梓科技園區              ,2,2024/5/31
2024/5/31,12,N-IC,,,O11,鳳山西站,R17,世運,1,2024/5/31
2024/5/31,19,IC,iPASS,A,R5,前鎮高中,O13,大東,1,2024/5/31
2024/5/31,17,N-IC,,,R12,後驛,R4,高雄國際機場,2,2024/5/31
2024/5/31,20,IC,EasyCard,A,O4,前金                  ,O12,鳳山                  ,1,2024/5/31
2024/5/31,14,IC,EasyCard,A,R20,後勁                  ,R13,凹子底                 ,1,2024/5/31
2024/5/31,12,IC,EasyCard,A,O4,前金                  ,R14,巨蛋                  ,2,2024/5/31
2024/5/31,16,IC,CreditCard,A,O7,文化中心,R11,高雄車站,1,2024/5/31
2024/5/31,8,IC,iPASS,C01,R12,後驛                  ,R4,高雄國際機場              ,1,2024/5/31
2024/5/31,16,IC,icash,A,O7,文化中心                ,R8,三多商圈                ,2,2024/5/31
2024/5/31,18,IC,icash,A,R16,左營                  ,R15,生態園區                ,1,2024/5/31
2024/5/31,23,IC,EasyCard,A,R11,高雄車站                ,R8,三多商圈                ,8,2024/5/31
2024/5/31,14,IC,iPASS,A,O5/R10,美麗島                 ,O13,大東                  ,1,2024/5/31
2024/5/31,18,IC,iPASS,A,O5/R10,美麗島,O11,鳳山西站,8,2024/5/31
2024/5/31,20,IC,iPASS,A,O1,哈瑪星,R14,巨蛋,6,2024/5/31
2024/5/31,12,IC,iPASS,A,O10,衛武營,OT1,大寮,4,2024/5/31
2024/5/31,13,IC,EasyCard,A,R3,小港                  ,R13,凹子底                 ,1,2024/5/31
2024/5/31,20,IC,EasyCard,A,O6,信義國小                ,R14,巨蛋                  ,3,2024/5/31
2024/5/31,0,IC,EasyCard,A,R14,巨蛋                  ,R15,生態園區                ,2,2024/5/31
2024/5/31,17,IC,iPASS,A,R9,中央公園                ,R3,小港                  ,3,2024/5/31
2024/5/31,7,N-IC,,,R22,青埔,R8,三多商圈,1,2024/5/31
2024/5/31,16,IC,EasyCard,A,R8,三多商圈                ,R17,世運                  ,1,2024/5/31
2024/5/31,14,IC,iPASS,A,R16,左營                  ,R9,中央公園                ,13,2024/5/31
2024/5/31,21,IC,iPASS,B,O5/R10,美麗島,O9,苓雅運動園區,2,2024/5/31
2024/5/31,14,IC,EasyCard,A,R16,左營                  ,O5/R10,美麗島                 ,16,2024/5/31
2024/5/31,16,IC,CreditCard,A,R13,凹子底,R16,左營,3,2024/5/31
2024/5/31,18,IC,iPASS,A,R4A,草衙                  ,R13,凹子底                 ,6,2024/5/31
2024/5/31,19,IC,iPASS,B,O6,信義國小                ,O2,鹽埕埔                 ,1,2024/5/31
2024/5/31,20,IC,iPASS,C01,O4,前金                  ,R15,生態園區                ,1,2024/5/31
2024/5/31,20,IC,CreditCard,A,O9,苓雅運動園區,OT1,大寮,2,2024/5/31
2024/5/31,18,IC,icash,A,O5/R10,美麗島                 ,O6,信義國小                ,1,2024/5/31
2024/5/31,20,IC,CreditCard,A,R14,巨蛋,R7,獅甲,2,2024/5/31
2024/5/31,16,IC,iPASS,B,R14,巨蛋,R24,岡山高醫,7,2024/5/31
2024/5/31,11,IC,iPASS,B,R13,凹子底                 ,O5/R10,美麗島                 ,2,2024/5/31
2024/5/31,19,IC,CreditCard,A,R11,高雄車站,O4,前金,1,2024/5/31
2024/5/31,13,IC,iPASS,A,R12,後驛,R4A,草衙,3,2024/5/31
2024/5/31,17,IC,iPASS,B,R12,後驛                  ,R19,楠梓科技園區              ,1,2024/5/31
2024/5/31,8,IC,iPASS,B,R19,楠梓科技園區              ,R14,巨蛋                  ,1,2024/5/31
2024/5/31,19,N-IC,,,O5/R10,美麗島,O2,鹽埕埔,1,2024/5/31
2024/5/31,6,IC,iPASS,A,R15,生態園區,O4,前金,1,2024/5/31
2024/5/31,19,IC,iPASS,A,R11,高雄車站,O6,信義國小,3,2024/5/31
2024/5/31,17,IC,iPASS,C01,R8,三多商圈                ,O1,哈瑪星                 ,1,2024/5/31
2024/5/31,13,IC,EasyCard,A,R14,巨蛋                  ,O1,哈瑪星                 ,3,2024/5/31
2024/5/31,13,IC,iPASS,C01,O5/R10,美麗島                 ,R4,高雄國際機場              ,1,2024/5/31
2024/5/31,18,IC,iPASS,C01,R7,獅甲                  ,O5/R10,美麗島                 ,1,2024/5/31
2024/5/31,7,IC,iPASS,A,R18,油廠國小,R4A,草衙,7,2024/5/31
2024/5/31,13,IC,EasyCard,B,R9,中央公園                ,O5/R10,美麗島                 ,1,2024/5/31
2024/5/31,17,N-IC,,,O1,哈瑪星,O2,鹽埕埔,2,2024/5/31
2024/5/31,18,IC,iPASS,B,R4A,草衙,OT1,大寮,1,2024/5/31
2024/5/31,11,IC,iPASS,A,R22A,橋頭糖廠,R8,三多商圈,2,2024/5/31
2024/5/31,20,IC,iPASS,B,R20,後勁,R5,前鎮高中,2,2024/5/31
2024/5/31,16,IC,iPASS,A,O4,前金                  ,O2,鹽埕埔                 ,3,2024/5/31
2024/5/31,13,IC,iPASS,A,R19,楠梓科技園區              ,R22,青埔                  ,1,2024/5/31
2024/5/31,8,IC,iPASS,C01,R18,油廠國小                ,R23,橋頭火車站               ,1,2024/5/31
2024/5/31,7,IC,EasyCard,A,R11,高雄車站                ,O8,五塊厝                 ,1,2024/5/31
2024/5/31,16,IC,iPASS,C02,R11,高雄車站                ,OT1,大寮                  ,1,2024/5/31
2024/5/31,9,IC,iPASS,A,R21,都會公園,R14,巨蛋,9,2024/5/31
2024/5/31,8,IC,iPASS,C01,R11,高雄車站                ,R9,中央公園                ,1,2024/5/31
2024/5/31,7,IC,iPASS,A,R4,高雄國際機場,O7,文化中心,1,2024/5/31
2024/5/31,7,IC,iPASS,A,R8,三多商圈,R20,後勁,3,2024/5/31
2024/5/31,18,IC,iPASS,A,O12,鳳山,R13,凹子底,5,2024/5/31
2024/5/31,17,IC,iPASS,C01,R8,三多商圈                ,O13,大東                  ,1,2024/5/31
2024/5/31,9,IC,iPASS,A,O4,前金,R14,巨蛋,2,2024/5/31
2024/5/31,15,IC,EasyCard,A,R5,前鎮高中                ,R16,左營                  ,4,2024/5/31
2024/5/31,17,IC,EasyCard,B,R11,高雄車站                ,O2,鹽埕埔                 ,3,2024/5/31
2024/5/31,19,IC,iPASS,B,R16,左營,R4,高雄國際機場,1,2024/5/31
2024/5/31,17,IC,iPASS,A,O14,鳳山國中,O1,哈瑪星,1,2024/5/31
2024/5/31,20,IC,iPASS,B,R13,凹子底,R24,岡山高醫,6,2024/5/31
2024/5/31,17,IC,iPASS,B,R19,楠梓科技園區,R11,高雄車站,3,2024/5/31
2024/5/31,22,IC,EasyCard,A,R9,中央公園                ,R23,橋頭火車站               ,1,2024/5/31
2024/5/31,14,N-IC,,,R3,小港,R6,凱旋,2,2024/5/31
2024/5/31,8,IC,iPASS,A,O9,苓雅運動園區,R14,巨蛋,4,2024/5/31
2024/5/31,16,IC,iPASS,B,O5/R10,美麗島                 ,R16,左營                  ,3,2024/5/31
2024/5/31,18,IC,iPASS,B,R14,巨蛋,R19,楠梓科技園區,9,2024/5/31
2024/5/31,14,IC,iPASS,A,O6,信義國小                ,O5/R10,美麗島                 ,2,2024/5/31
2024/5/31,9,IC,EasyCard,A,R23,橋頭火車站               ,R22A,橋頭糖廠                ,1,2024/5/31
2024/5/31,12,IC,EasyCard,B,O7,文化中心                ,R16,左營                  ,1,2024/5/31
2024/5/31,20,IC,iPASS,C01,O9,苓雅運動園區              ,R18,油廠國小                ,1,2024/5/31
2024/5/31,21,IC,iPASS,C01,R18,油廠國小                ,R3,小港                  ,1,2024/5/31
2024/5/31,17,IC,iPASS,A,OT1,大寮                  ,O2,鹽埕埔                 ,3,2024/5/31
2024/5/31,23,IC,EasyCard,A,R5,前鎮高中                ,R9,中央公園                ,1,2024/5/31
2024/5/31,9,IC,iPASS,A,R13,凹子底,O6,信義國小,4,2024/5/31
2024/5/31,7,IC,iPASS,A,O4,前金,R24,岡山高醫,3,2024/5/31
2024/5/31,8,IC,iPASS,B,R7,獅甲,O11,鳳山西站,2,2024/5/31
2024/5/31,6,IC,EasyCard,A,R6,凱旋                  ,R3,小港                  ,1,2024/5/31
